,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
43,1518963397701906433,1518963397701906433,2022-04-26 16:41:09 CEST,2022-04-26,16:41:09,200,535255114,berrocalruben,Rubén Berrocal,,"Los compañeros de @TheBridge_Tech nos hablan de #softskills en IT, en #devspega junto a @flyncercom  El valor diferencial de todo profesional.  https://t.co/0On5h6N9hR",es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'flyncercom', 'name': 'flyncer', 'id': '1379439155806150656'}]",[],['https://pbs.twimg.com/tweet_video_thumb/FRRxHllXIAU5uBV.jpg'],0,0,0,"['softskills', 'devspega']",[],https://twitter.com/BerrocalRuben/status/1518963397701906433,False,,1,https://pbs.twimg.com/tweet_video_thumb/FRRxHllXIAU5uBV.jpg,,,,,,,[],,,,
44,1518910838987501570,1518910838987501570,2022-04-26 13:12:18 CEST,2022-04-26,13:12:18,200,1978768458,cogitivalencia,COGITI Valencia,,#ESTAPASANDO Talento y competencias digitales #SP22 Inés Garcia @TheBridge_Tech Enric Montesa @COEV_COM Leticia Gonzalvez Directora marketing @sesamehr_ La competencia digital demandada en las empresas no son las básicas que todos tenemos.  https://t.co/orPM5iTbPE,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'coev_com', 'name': 'economistas valencia', 'id': '864474346022199298'}, {'screen_name': 'sesamehr_', 'name': 'sesame hr', 'id': '3195111599'}]",[],['https://pbs.twimg.com/media/FRRBO19WUAEmO4F.jpg'],1,0,3,"['estapasando', 'sp22']",[],https://twitter.com/COGITIValencia/status/1518910838987501570,False,,1,https://pbs.twimg.com/media/FRRBO19WUAEmO4F.jpg,,,,,,,[],,,,
45,1518909298688077825,1518909298688077825,2022-04-26 13:06:11 CEST,2022-04-26,13:06:11,200,227327854,burn_es,BURN España 🔥,,Tenemos que decir que el BURN Mondays de ayer con @TheBridge_Tech fue muy top! 🔝​❤️‍🔥,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],[],1,1,3,[],[],https://twitter.com/burn_es/status/1518909298688077825,False,,0,,,,,,,,[],,,,
46,1518607234976161792,1518607234976161792,2022-04-25 17:05:53 CEST,2022-04-25,17:05:53,200,1162694149956603904,thebridge_tech,The Bridge,,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉 https://t.co/0n4iufzfmi  https://t.co/A51YStbfjF",es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'spaingeneration', 'name': 'generation spain', 'id': '2979740235'}, {'screen_name': 'accenturespain', 'name': 'accenture españa', 'id': '109316621'}, {'screen_name': 'siliconhr1', 'name': 'siliconhr', 'id': '856519578238758912'}]",['https://bit.ly/3kbyBdT'],['https://pbs.twimg.com/media/FRMtN3mWQAMmetO.jpg'],0,0,0,['marketingdigital'],[],https://twitter.com/TheBridge_Tech/status/1518607234976161792,False,,1,https://pbs.twimg.com/media/FRMtN3mWQAMmetO.jpg,,,,,,,[],,,,
47,1518529871969988608,1518529871969988608,2022-04-25 11:58:29 CEST,2022-04-25,11:58:29,200,1162694149956603904,thebridge_tech,The Bridge,,"""Necesitaba formación técnica para potenciar mi empleabilidad"", cuenta nuestra alumni Clara Bayón a @el_pais 🗞Tras hacer el #bootcamp en #ciberseguridad ahora trabaja en @DeloitteDE Check it out! 👉 https://t.co/XGIPZfmtx6  https://t.co/7jrVa74qTG",es,"[{'screen_name': 'el_pais', 'name': 'el país', 'id': '7996082'}, {'screen_name': 'deloittede', 'name': 'deloitte deutschland', 'id': '50973515'}]",['https://bit.ly/3kaqzCc'],['https://pbs.twimg.com/media/FRLlBz7XEAAHC_B.jpg'],0,0,0,"['bootcamp', 'ciberseguridad']",[],https://twitter.com/TheBridge_Tech/status/1518529871969988608,False,,1,https://pbs.twimg.com/media/FRLlBz7XEAAHC_B.jpg,,,,,,,[],,,,
48,1517423870483042304,1517423870483042304,2022-04-22 10:43:37 CEST,2022-04-22,10:43:37,200,734674933217931265,mujeresaseguir,Mujeres a Seguir,,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech  https://t.co/OFDlmziC1y,es,"[{'screen_name': 'globant', 'name': 'globant', 'id': '23430560'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],['https://pbs.twimg.com/media/FQ7497pX0AAcf_v.jpg'],0,0,2,['mujerytecnología'],[],https://twitter.com/MujeresaSeguir/status/1517423870483042304,False,,1,https://pbs.twimg.com/media/FQ7497pX0AAcf_v.jpg,,,,,,,[],,,,
49,1517421295373271041,1517421295373271041,2022-04-22 10:33:23 CEST,2022-04-22,10:33:23,200,734674933217931265,mujeresaseguir,Mujeres a Seguir,,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant  https://t.co/lYFyIZuW3J,es,"[{'screen_name': 'raing', 'name': 'richard', 'id': '23035924'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'globant', 'name': 'globant', 'id': '23430560'}]",[],['https://pbs.twimg.com/media/FQ72oBuXsAMJ7sc.jpg'],0,1,5,['mujerytecnología'],[],https://twitter.com/MujeresaSeguir/status/1517421295373271041,False,,1,https://pbs.twimg.com/media/FQ72oBuXsAMJ7sc.jpg,,,,,,,[],,,,
50,1517420242120683520,1517420242120683520,2022-04-22 10:29:12 CEST,2022-04-22,10:29:12,200,734674933217931265,mujeresaseguir,Mujeres a Seguir,,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming  https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech  https://t.co/kApsKZ04SD,es,"[{'screen_name': 'globant', 'name': 'globant', 'id': '23430560'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://m.youtube.com/watch?v=zeksSxseb6M'],['https://pbs.twimg.com/media/FQ71qxmXEAI6TPq.jpg'],0,0,2,['mujerytecnología'],[],https://twitter.com/MujeresaSeguir/status/1517420242120683520,False,,1,https://pbs.twimg.com/media/FQ71qxmXEAI6TPq.jpg,,,,,,,[],,,,
51,1517419666938998784,1517419666938998784,2022-04-22 10:26:55 CEST,2022-04-22,10:26:55,200,734674933217931265,mujeresaseguir,Mujeres a Seguir,,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech  https://t.co/gLjyCQPBRH",es,"[{'screen_name': 'globant', 'name': 'globant', 'id': '23430560'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],['https://pbs.twimg.com/media/FQ71JQBXMAA9IMc.jpg'],0,3,5,['mujerytecnología'],[],https://twitter.com/MujeresaSeguir/status/1517419666938998784,False,,1,https://pbs.twimg.com/media/FQ71JQBXMAA9IMc.jpg,,,,,,,[],,,,
52,1517418437777240065,1517418437777240065,2022-04-22 10:22:02 CEST,2022-04-22,10:22:02,200,734674933217931265,mujeresaseguir,Mujeres a Seguir,,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant  https://t.co/yaoUnWJIs6",es,"[{'screen_name': 'meta', 'name': 'meta', 'id': '2425151'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'globant', 'name': 'globant', 'id': '23430560'}]",[],['https://pbs.twimg.com/media/FQ70BvCXsAABM-r.jpg'],0,1,4,['mujerytecnología'],[],https://twitter.com/MujeresaSeguir/status/1517418437777240065,False,,1,https://pbs.twimg.com/media/FQ70BvCXsAABM-r.jpg,,,,,,,[],,,,
